instanceId	userid	username	Q0 (index)	Q1 (index)	Q2 (index)	Q3 (index)	Q4 (index)	Q5 (index)	Q6 (index)	Q4 (text)	Q5 (text)
9EAfwFmmpqWyaR9tt		11	-1	-1	-1	-1	1	2	-1	Non	Non. c'est un nouveau concept
9gjNbnMzbj4zwQAyu		ck3qy1bnb00yd01ywd6ur9p73	-1	-1	-1	-1	-1	-1	-1		
BgATbKvZwy3QPjNbf		ck3qy1o7k00yf01yw5vwnhas5	-1	-1	-1	-1	-1	-1	-1		
BrujMm2bMgouDBqnd		3	-1	-1	-1	-1	1	2	-1	Non	Non. c'est un nouveau concept
MCAyeq9jrNSteH4LP		12	-1	-1	-1	-1	0	0	-1	Oui	Oui, j'en ai déjà entendu parlé
QwQ7DiJZi5t8jXbmZ		ck3qy2t4g00yt01yw19w4gwy7	-1	-1	-1	-1	-1	-1	-1		
RQam3nPuq39MfgodH		13	-1	-1	-1	-1	0	2	-1	Oui	Non. c'est un nouveau concept
RbBQv7qMZ843Z32hc		10	-1	-1	-1	-1	1	2	-1	Non	Non. c'est un nouveau concept
Rv6rTY4jxNLibpT4s		ck3qy1u0s00yh01yw9ey6fdg5	-1	-1	-1	-1	-1	-1	-1		
TTA3wnBvnrgbegTGL		1	-1	-1	-1	-1	1	2	-1	Non	Non. c'est un nouveau concept
YR3xW7MSKf3Cn32g8		2	-1	-1	-1	-1	1	2	-1	Non	Non. c'est un nouveau concept
YTpiTf56WnXsp3TrW		ck3qy27bw00yn01ywdoe5375u	-1	-1	-1	-1	-1	-1	-1		
Yv9MA2mad8oRkfLKM		14	-1	-1	-1	-1	1	2	-1	Non	Non. c'est un nouveau concept
aH54ceovXmmL46tum		9	-1	-1	-1	-1	1	2	-1	Non	Non. c'est un nouveau concept
ck8FAquSc9JpRTD6c		ck3qy2ere00yp01yw6b851pxx	-1	-1	-1	-1	-1	-1	-1		
cw8tv4WkmSa4pLJCA		ck3qy31ie00yv01ywbc4a0kky	-1	-1	-1	-1	-1	-1	-1		
cx4X7QoFJDgF6ZKE8		7	-1	-1	-1	-1	0	2	-1	Oui	Non. c'est un nouveau concept
dRHRT295p8xhk3iva		ck3qy22tr00yj01ywfxhk0tlo	-1	-1	-1	-1	-1	-1	-1		
hEotrstzSyj7ixctp		ck3qy19g400yb01yw9g0h5s5b	-1	-1	-1	-1	-1	-1	-1		
qfRxBS2J36LezSKnt		4	-1	-1	-1	-1	-1	-1	-1		
tp96CZ3pvGF7Q6H3d		ck3qy0grs00y701yw1ifder0t	-1	-1	-1	-1	-1	-1	-1		
vECvyXzZEkKRLeMxm		ck3qy2r1b00yr01yw4s4oc6ys	-1	-1	-1	-1	-1	-1	-1		
vMkDDhfGQ3dS9eRYt		6	-1	-1	-1	-1	-1	-1	-1		
vej69vuEoMCHp32EW		8	-1	-1	-1	-1	0	2	-1	Oui	Non. c'est un nouveau concept
x7RzaqXj9mvRa3CSs		15	-1	-1	-1	-1	1	2	-1	Non	Non. c'est un nouveau concept
zpDPvHc94BGcj4YCT		5	-1	-1	-1	-1	-1	-1	-1		
